,string_X_train,Y_label,EXPNO,from,predict,class,預測部門代號
4930, PVC SUSPENSION RESIN  S65D 25KG BAGS QTY 54 MTS AT UNIT PRICE OFUSD 1640MT AS PER TRICON REF 374773 DTD 19032021 INCOTERM2020 CIF CHENNAI INDIA,PVC SUSPENSION RESIN,11,202104.xlsx,"[' RESIN ', 'PVC SUSPENSION RESIN']",rule,11
4937, CARBON FIBER  TC36P12K        NET WEIGHT 501600 KGSCIF SHANGHAI CHINA,CARBON FIBER,12,202104.xlsx,['CARBON FIBER'],rule,12
4942,2500 MT EVA  TAISOX 7350M  AT RATE USD 254000MTALL OTHER DETAILS ARE AS PER PROFORMA INVOICE NO H0MX63DATED 25032021 OF THE BENEFICIARYFOB TAICHUNG TAIWANHS CODE 39013000,TAISOX 7350M,18,202104.xlsx,"['TAISOX 7350M', ' TAISOX ', ' EVA ']",rule,18
4943, METHYLENE CHLORIDE   9750MT  PACKING 260 KGDRUMAT USD720MT  USD7020000SHIPPING MARK   METHYLENE CHLORIDE                  NET WTKGS                  MADE IN,METHYLENE CHLORIDE,11,202104.xlsx,['METHYLENE CHLORIDE'],rule,11
4944, METHYLENE CHLORIDE   9750MT  PACKING 260 KGDRUMAT USD720MT  USD7020000SHIPPING MARK   METHYLENE CHLORIDE                  NET WTKGS                  MADE IN,METHYLENE CHLORIDE,11,202104.xlsx,['METHYLENE CHLORIDE'],rule,11
4955,COMMODITYABS AG15AAHQUANTITY21600 MTUNIT PRICE USD246300MTCOMMODITYABS  AG10NP AKQUANTITY10800 MTUNIT PRICE USD253300MTPRICE TERMCIF QINGYUAN PORT CHINA,AG10NP,4A,202104.xlsx,[' AG10NP '],rule,4A
4956,COMMODITYABS AG15AAHQUANTITY21600 MTUNIT PRICE USD246300MTCOMMODITYABS  AG10NP AKQUANTITY10800 MTUNIT PRICE USD253300MTPRICE TERMCIF QINGYUAN PORT CHINA,AG10NP,4A,202104.xlsx,[' AG10NP '],rule,4A
4957,COMMODITYABS AG15AAHQUANTITY21600 MTUNIT PRICE USD246300MTCOMMODITYABS  AG10NP AKQUANTITY10800 MTUNIT PRICE USD253300MTPRICE TERMCIF QINGYUAN PORT CHINA,AG10NP,4A,202104.xlsx,[' AG10NP '],rule,4A
4958,COMMODITYABS AG15AAHQUANTITY21600 MTUNIT PRICE USD246300MTCOMMODITYABS  AG10NP AKQUANTITY10800 MTUNIT PRICE USD253300MTPRICE TERMCIF QINGYUAN PORT CHINA,AG10NP,4A,202104.xlsx,[' AG10NP '],rule,4A
4959,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4960,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4961,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4962,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4963,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4964,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4965,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4966,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4967,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4968,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4969,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4970,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4971,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4972,1 PVC RESIN    GRADE        S65D   QUANTITY    630 MT   UNIT PRICE  USD1460 PER MT FOB TAIWAN2 PVC RESIN   GRADE       S70   QUANTITY    812 MT   UNIT PRICE  USD1460 PER MT FOB TAIWANOTHER DETAILS ARE AS PER APPLICANTS SHIPPING INSTRUCTION,GRADE,11,202104.xlsx,"[' GRADE ', ' RESIN ', 'PVC RESIN']",rule,11
4979,TAIRILIN BRAND SEMI DULL ROUND RAW WHITE A GRADE DTY  YARN 100 PCTPOSTCONSUMER RECYCLEDPOLYESTER OCEAN PLASTIC SDRO5580 KGS 50D72F1 PARLEYAT USD 425 PER KG3030 KGS 75D72F1 PARLEYAT USD USD340 PER KGCIF BANGKOK THAILAND,YARN,25,202104.xlsx,"[' GRADE ', ' YARN ']",rule,4A
4980,TAIRILIN BRAND SEMI DULL ROUND RAW WHITE A GRADE DTY  YARN 100 PCTPOSTCONSUMER RECYCLEDPOLYESTER OCEAN PLASTIC SDRO5580 KGS 50D72F1 PARLEYAT USD 425 PER KG3030 KGS 75D72F1 PARLEYAT USD USD340 PER KGCIF BANGKOK THAILAND,YARN,25,202104.xlsx,"[' GRADE ', ' YARN ']",rule,4A
4981,COMMODITY                     TOTAL QTY     UNIT PRICEABS AG10NPAK                  54000KG        USD253 3K GTOTAL VALUEUSD13678200PRICE TERMCIF TIANJIN XINGANGPACKINGSTANDARD PACKING,3K,4A,202104.xlsx,[' 3K '],rule,4A
4983,AS PER CONTRACT NOH0MX64HDPE  TAISOX 8100RT AT PRICE USD138500MT            QUANTITY 30000MTTOTAL AMOUNT USD41550000       CIF TIANJINPACKING 25KG BAG WITH PALLET,TAISOX 8100RT,18,202104.xlsx,"[' TAISOX ', 'TAISOX 8100RT']",rule,18
4984,AS PER CONTRACT NOH0MX64HDPE  TAISOX 8100RT AT PRICE USD138500MT            QUANTITY 30000MTTOTAL AMOUNT USD41550000       CIF TIANJINPACKING 25KG BAG WITH PALLET,TAISOX 8100RT,18,202104.xlsx,"[' TAISOX ', 'TAISOX 8100RT']",rule,18
4985,9000 MT  PHTHALIC ANHYDRIDE  PAAT USD 100000MTTOTAL AMOUNT       USD 9000000TYPE OF GOODS      FLAKESHS NO              29173500CONTRACTPO NO     NP14094COUNTRY OF ORIGIN  TAIWANSHIPPING TERMS     CIF TANJUNG PRIOK JAKARTA,PHTHALIC ANHYDRIDE,27,202104.xlsx,['PHTHALIC ANHYDRIDE'],rule,27
4986,COMMODITY HDPE  TAISOX 9001 QUANTITY 100MTUNIT PRICE USD125000MTCONTRACT NO H0LX39PRICE TERM FOB ANY PORT IN TAIWANORIGIN TAIWANPACKING IN 25KGBAG,TAISOX 9001,18,202104.xlsx,"[' TAISOX ', ' HDPE ', 'TAISOX 9001']",rule,18
4987,9000 MT  PHTHALIC ANHYDRIDE  PAAT USD 100000MTTOTAL AMOUNT       USD 9000000TYPE OF GOODS      FLAKESHS NO              29173500CONTRACTPO NO     NP14092COUNTRY OF ORIGIN  TAIWANSHIPPING TERMS     CIF TANJUNG PRIOK JAKARTA,PHTHALIC ANHYDRIDE,27,202104.xlsx,['PHTHALIC ANHYDRIDE'],rule,27
4989,CIF SHANGHAI CHINACARBON FIBER YARNTC35   TC35 48K A GRADE   QTY 5184000KGSUPRICE USD 1430KG       AMOUNT USD74131200,48K,12,202104.xlsx,"['CARBON FIBER YARN', ' GRADE ', ' 48K ']",rule,12
4990,CIF SHANGHAI CHINACARBON FIBER YARNTC35   TC35 48K A GRADE   QTY 5184000KGSUPRICE USD 1430KG       AMOUNT USD74131200,48K,12,202104.xlsx,"['CARBON FIBER YARN', ' GRADE ', ' 48K ']",rule,12
4991,CIF SHANGHAI CHINACARBON FIBER YARNTC35   TC35 48K A GRADE   QTY 5184000KGSUPRICE USD 1430KG       AMOUNT USD74131200,48K,12,202104.xlsx,"['CARBON FIBER YARN', ' GRADE ', ' 48K ']",rule,12
4992,CIF SHANGHAI CHINACARBON FIBER YARNTC35   TC35 48K A GRADE   QTY 5184000KGSUPRICE USD 1430KG       AMOUNT USD74131200,48K,12,202104.xlsx,"['CARBON FIBER YARN', ' GRADE ', ' 48K ']",rule,12
4994,HIPS  GRADE  NO HP8250         25200 MTS AT USD152900 PER MTCIF HAIPHONG VIETNAM,GRADE,4A,202104.xlsx,[' GRADE '],rule,4A
5004,ABS AG12A1QUANTITY5400000KGSUNIT PRICEUSD248 3K GTRADE TERMCIF SHANGHAICHINA,3K,4A,202104.xlsx,[' 3K '],rule,4A
5005,9000 MT  PHTHALIC ANHYDRIDE  PAAT USD 100000MTTOTAL AMOUNT       USD 9000000TYPE OF GOODS      FLAKESHS NO              29173500CONTRACTPO NO     NP14093COUNTRY OF ORIGIN  TAIWANSHIPPING TERMS     CIF TANJUNG PRIOK JAKARTA,PHTHALIC ANHYDRIDE,27,202104.xlsx,['PHTHALIC ANHYDRIDE'],rule,27
5009,1PP  SYNTHETIC PAPER  BJE OF5  200UM X 1054MM X 2320M    QUANTITY 8618144KGSUNIT PRICE USD365KG2PP SYNTHETIC PAPER BJE OF5  200UM X 1054MM X 2320M    QUANTITY 2154536KGSUNIT PRICEUSD365KGSHIPPING MARK 1   LKI04221TW                                      XINGANGCHINA               2   LKI04321TW                                      XINGANGCHINAGOODS ORIGINTAIWANPACKING STANDARD EXPORT PACKINGPRICE TERM CIF XINGANG CHINA,SYNTHETIC PAPER,22,202104.xlsx,['PP SYNTHETIC PAPER'],rule,23
5010,1PP  SYNTHETIC PAPER  BJE OF5  200UM X 1054MM X 2320M    QUANTITY 8618144KGSUNIT PRICE USD365KG2PP SYNTHETIC PAPER BJE OF5  200UM X 1054MM X 2320M    QUANTITY 2154536KGSUNIT PRICEUSD365KGSHIPPING MARK 1   LKI04221TW                                      XINGANGCHINA               2   LKI04321TW                                      XINGANGCHINAGOODS ORIGINTAIWANPACKING STANDARD EXPORT PACKINGPRICE TERM CIF XINGANG CHINA,SYNTHETIC PAPER,22,202104.xlsx,['PP SYNTHETIC PAPER'],rule,23
5011, METHYLENE CHLORIDE  585 MTAT USD730PER MTCIF BANGKOK THAILAND,METHYLENE CHLORIDE,11,202104.xlsx,['METHYLENE CHLORIDE'],rule,11
5012,PHARMACEUTICAL PACKING MATERIALQTY 3000 KGS  RIGID PVC FILM  AT THE RATE USD 157 PER KG FOBBASISKARACHI SEAPORT PAKISTAN DETAILS AS PER BENEFICIARY PROFORMAINVOICE NO 2020620 DATED 10MAR2021 OF TRANSCONTINENTALAGENCIES KARACHI PAKISTAN,RIGID PVC FILM,22,202104.xlsx,['RIGID PVC FILM'],rule,22
5013,PHARMACEUTICAL RAW MATERIALS OF PHARMA  GRADE QTY 7000 KGS RIGID PVC FILM AT THE RATE OF USD 180 PER KGFOB KAOHSIUNG TAIWAN OTHER DETAILS AS PER  INDENT NO2107821 DATED 16022021OF MSTRANSCONTINENTAL AGENCIES KARACHIPAKISTAN,GRADE,22,202104.xlsx,"[' GRADE ', 'RIGID PVC FILM', 'RAW MATERIALS']",rule,22
5014,PHARMACEUTICAL RAW MATERIALS OF PHARMA  GRADE QTY 7000 KGS RIGID PVC FILM AT THE RATE OF USD 180 PER KGFOB KAOHSIUNG TAIWAN OTHER DETAILS AS PER  INDENT NO2107821 DATED 16022021OF MSTRANSCONTINENTAL AGENCIES KARACHIPAKISTAN,GRADE,22,202104.xlsx,"[' GRADE ', 'RIGID PVC FILM', 'RAW MATERIALS']",rule,22
5015,TERMS OF PRICE  FOB TAIWAN PORTCOUNTRY OF ORIGIN  TAIWAN PROVINCE OF CHINANAN YA  RELEASE FILM ,RELEASE FILM,2E,202104.xlsx,['RELEASE FILM'],rule,25
5020,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5021,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5022,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5023,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5024,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5025,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5026,CIF TOKYOJAPAN POLYESTER STAPLE FIBER  4DX38MM LOW MELT FIBERNH658161000KG AT USD134KG CIF TOKYOTTL AMOUNT USD21574000,POLYESTER STAPLE FIBER,25,202104.xlsx,"[' POLYESTER ', 'POLYESTER STAPLE FIBER']",rule,25
5027,HDPE  TAISOX 8100RT QUANTITY20000MTUNIT PRICEUSD1385MT   PACKING25KG BAG WITHOUT PALLETORIGINTAIWANPRICE TERM CFR NINGBOCHINA,TAISOX 8100RT,18,202104.xlsx,"[' TAISOX ', 'TAISOX 8100RT']",rule,18
5028,PRODUCT  LIQUID CAUSTIC SODA QUANTITY 20000000 DMTUNIT PRICE USD 2600000DMTFOB  FREE ON BOARD MAILIAO TAIWANPACKING IN BULKORIGIN TAIWAN,LIQUID CAUSTIC SODA,11,202104.xlsx,['LIQUID CAUSTIC SODA'],rule,11
5029,PRODUCT  LIQUID CAUSTIC SODA QUANTITY 20000000 DMTUNIT PRICE USD 2600000DMTFOB  FREE ON BOARD MAILIAO TAIWANPACKING IN BULKORIGIN TAIWAN,LIQUID CAUSTIC SODA,11,202104.xlsx,['LIQUID CAUSTIC SODA'],rule,11
5030,TERMS OF PRICE  CIF INCHEONKOREACOUNTRY OF ORIGIN  TAIWAN COPPER CLAD LAMINATES 7000 SHEETS         USD 24086000,COPPER CLAD LAMINATES,2M,202104.xlsx,['COPPER CLAD LAMINATES'],rule,2M
5031,TERMS OF PRICE  CIF INCHEONKOREACOUNTRY OF ORIGIN  TAIWAN COPPER CLAD LAMINATES 7000 SHEETS         USD 24086000,COPPER CLAD LAMINATES,2M,202104.xlsx,['COPPER CLAD LAMINATES'],rule,2M
5032,TERMS OF PRICE  CIF INCHEONKOREACOUNTRY OF ORIGIN  TAIWAN COPPER CLAD LAMINATES 7000 SHEETS         USD 24086000,COPPER CLAD LAMINATES,2M,202104.xlsx,['COPPER CLAD LAMINATES'],rule,2M
5033,TERMS OF PRICE  CIF INCHEONKOREACOUNTRY OF ORIGIN  TAIWAN COPPER CLAD LAMINATES 7000 SHEETS         USD 24086000,COPPER CLAD LAMINATES,2M,202104.xlsx,['COPPER CLAD LAMINATES'],rule,2M
5034,TERMS OF PRICE  CIF INCHEONKOREACOUNTRY OF ORIGIN  TAIWAN COPPER CLAD LAMINATES 7000 SHEETS         USD 24086000,COPPER CLAD LAMINATES,2M,202104.xlsx,['COPPER CLAD LAMINATES'],rule,2M
5035,54 MT  PHTHALIC ANHYDRIDE  PA AT USD 1000MTAS PER PROFORMA INVOICE NO NP1394 DATED 23MAR2021CIF NHAVA SHEVA PORT INDIA,PHTHALIC ANHYDRIDE,27,202104.xlsx,"['PHTHALIC ANHYDRIDE', ' PA ']",rule,27
5036,ACRYLONITRILE BUTADIENE STYRENE RESINABS RESIN TAIRILAC AF3535 18000KGCFR BANGKOK THAILAND,AF3535,4A,202104.xlsx,"[' AF3535 ', 'ACRYLONITRILE BUTADIENE STYRENE', ' TAIRILAC ', 'ABS RESIN', ' RESIN ']",rule,4A
5037,ACRYLONITRILE BUTADIENE STYRENE RESINABS RESIN TAIRILAC AF3535 18000KGCFR BANGKOK THAILAND,AF3535,4A,202104.xlsx,"[' AF3535 ', 'ACRYLONITRILE BUTADIENE STYRENE', ' TAIRILAC ', 'ABS RESIN', ' RESIN ']",rule,4A
5038,COVERING 100 PERCENT OF INVOICE VALUE OF GOODS ANDOR SERVICESDESCRIBED AS48 MT OF PROPYLENE COPOLYMER  GRADE  K9017 REF PO NO 45655841CIF VANCOUVER CANADA INCOTERMS 2020,GRADE,4A,202104.xlsx,"[' PROPYLENE ', ' GRADE ', ' K9017 ', 'PROPYLENE COPOLYMER']",rule,4A
5039,COVERING 100 PERCENT OF INVOICE VALUE OF GOODS ANDOR SERVICESDESCRIBED AS24 MT OF PROPYLENE COPOLYMER  GRADE  K9017 REF PO NO 45655843CIP TORONTO CANADAINCOTERMS 2020,GRADE,4A,202104.xlsx,"[' PROPYLENE ', ' GRADE ', ' K9017 ', 'PROPYLENE COPOLYMER']",rule,4A
5040,18 MTS OF  PHTHALIC ANHYDRIDE  AT THE RATE USD 985 PMT CIF NHAVASHEVA AS PER APPLICANTS PURCHASE ORDER NO PO01664HO2021DT26032021 AND PROFORMA INVOICE NO NP1436 DT 26032021 OFBENEFICIARYINCOTERMS 2010  CIF NHAVA SHEVA PORT INDIA,PHTHALIC ANHYDRIDE,27,202104.xlsx,['PHTHALIC ANHYDRIDE'],rule,27
5042,COVERING 100 PERCENT OF INVOICE VALUE OF GOODS ANDOR SERVICESDESCRIBED AS24 MT OF PROPYLENE COPOLYMER  GRADE  B8001 REF PO NO 45655842CIP TORONTO CANADA INCOTERM 2020,GRADE,4A,202104.xlsx,"[' PROPYLENE ', ' GRADE ', 'PROPYLENE COPOLYMER']",rule,4A
5044,1 COMMODITY COPOLYMER PROPYLENE   GRADE  K80092 QUANTITY 1600 MTS3 UNIT PRICE USD172000MT4 TOTAL AMOUNT USD27520005 TRADE TERMS CIF HAI PHONG PORT VIETNAM INCOTERMS 2020,GRADE,4A,202104.xlsx,"['COPOLYMER PROPYLENE', ' PROPYLENE ', ' GRADE ']",rule,4A
5045,1 COMMODITY POLYPROPYLENE PP11  GRADE  K1011 QUANTITY 800 MTS UNIT PRICE USD164000MT12 GRADE K1011AG QUANTITY 700 MTS UNIT PRICE USD174000MT2 TOTAL QUANTITY 1500 MTS 01 X 20 FCL3 TOTAL AMOUNT USD2530000 CIF HAI PHONG PORT VIETNAMINCOTERMS 20104 ORIGIN TAIWAN5 PACKING IN EXPORTPACKING STANDARD6 MAKER FORMOSA CHEMICALS AND FIBRE CORPORATION,GRADE,4A,202104.xlsx,"[' K1011 ', ' GRADE ', ' CHEMICALS ', ' POLYPROPYLENE ']",rule,1P
5046,1 COMMODITY POLYPROPYLENE PP11  GRADE  K1011 QUANTITY 800 MTS UNIT PRICE USD164000MT12 GRADE K1011AG QUANTITY 700 MTS UNIT PRICE USD174000MT2 TOTAL QUANTITY 1500 MTS 01 X 20 FCL3 TOTAL AMOUNT USD2530000 CIF HAI PHONG PORT VIETNAMINCOTERMS 20104 ORIGIN TAIWAN5 PACKING IN EXPORTPACKING STANDARD6 MAKER FORMOSA CHEMICALS AND FIBRE CORPORATION,GRADE,4A,202104.xlsx,"[' K1011 ', ' GRADE ', ' CHEMICALS ', ' POLYPROPYLENE ']",rule,1P
5048,COMMODITY PURIFIED TEREPHTHALIC  ACID  PTA QUANTITY 1600 MTS UNIT PRICE USD650MT TOTAL AMOUNT USD104000000 COUNTRY OF ORIGIN TAIWAN PACKING 20 MTS PER 20 CONTAINER TRADE TERM CIF CAT LAI PORT HOCHIMINH CITY VIETNAMINCOTERMS 2010,ACID,48,202104.xlsx,"[' PTA ', ' ACID ']",rule,1A
5049,COMMODITY PURIFIED TEREPHTHALIC  ACID  PTA QUANTITY 1600 MTS UNIT PRICE USD650MT TOTAL AMOUNT USD104000000 COUNTRY OF ORIGIN TAIWAN PACKING 20 MTS PER 20 CONTAINER TRADE TERM CIF CAT LAI PORT HOCHIMINH CITY VIETNAMINCOTERMS 2010,ACID,48,202104.xlsx,"[' PTA ', ' ACID ']",rule,1A
5050,DESCRIPTION TAIRILIN BRAND POLYESTER FILM B  GRADE  1113MICRONQUANTITY 40000KGUNIT PRICE CNY65KGTOTAL AMOUNT CNY26000000TRADE TERM CIF DALIAN CHINAORIGIN TAIWAN,GRADE,2E,202104.xlsx,"[' TAIRILIN ', ' GRADE ', 'POLYESTER FILM', ' POLYESTER ']",rule,2E
5051, TAIRILOY PCABS AC3100 UNIT PRICE3150MT224MTCIP SHENZHENCHINA,TAIRILOY PCABS AC3100,4A,202104.xlsx,['TAIRILOY PCABS AC3100'],rule,4A
5052, TAIRILOY PCABS AC3100 UNIT PRICE3150MT224MTCIP SHENZHENCHINA,TAIRILOY PCABS AC3100,4A,202104.xlsx,['TAIRILOY PCABS AC3100'],rule,4A
5053, TAIRILOY PCABS AC3100 UNIT PRICE3150MT224MTCIP SHENZHENCHINA,TAIRILOY PCABS AC3100,4A,202104.xlsx,['TAIRILOY PCABS AC3100'],rule,4A
5054, TAIRILOY PCABS AC3100 UNIT PRICE3150MT224MTCIP SHENZHENCHINA,TAIRILOY PCABS AC3100,4A,202104.xlsx,['TAIRILOY PCABS AC3100'],rule,4A
5058,1COMMODITYEVA TAISOX 7350MQUANTITY 100 MTSUNIT PRICE USD255500MTAMOUNT USD255500002COMMODITYEVA  TAISOX 7470M QUANTITY 2500 MTSUNIT PRICE USD262500MTAMOUNT USD6562500TOTAL QUANTITY 12500MTSTOTAL AMOUNT USD32112500ORIGINTAIWANPACKAGEBY 25 KGS NET PER BAG WITHOUT PALLETINSPECTIONMANUFACTURERS INSPECTION IS FINALAS PER THE CONTRACT NO H0MX55PRICE TERMCIF XIAMEN,TAISOX 7470M,18,202104.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
5059,1COMMODITYEVA TAISOX 7350MQUANTITY 100 MTSUNIT PRICE USD255500MTAMOUNT USD255500002COMMODITYEVA  TAISOX 7470M QUANTITY 2500 MTSUNIT PRICE USD262500MTAMOUNT USD6562500TOTAL QUANTITY 12500MTSTOTAL AMOUNT USD32112500ORIGINTAIWANPACKAGEBY 25 KGS NET PER BAG WITHOUT PALLETINSPECTIONMANUFACTURERS INSPECTION IS FINALAS PER THE CONTRACT NO H0MX55PRICE TERMCIF XIAMEN,TAISOX 7470M,18,202104.xlsx,"['TAISOX 7350M', 'EVA TAISOX 7350', 'TAISOX 7470M']",rule,18
5061,CIF CAT LAIVIETNAMCOMMODITY PVC RESINS60 QTY8575 MTSUNIT PRICEUSD1550MTPACKING25KGS IN PP WOVEN BAG WITH PE LAMINATEDHS CODE390410,PVC RESINS60,11,202104.xlsx,"[' PP ', ' PE ', 'PVC RESINS60']",rule,23
5062,CIF CAT LAIVIETNAMCOMMODITY PVC RESINS60 QTY8575 MTSUNIT PRICEUSD1550MTPACKING25KGS IN PP WOVEN BAG WITH PE LAMINATEDHS CODE390410,PVC RESINS60,11,202104.xlsx,"[' PP ', ' PE ', 'PVC RESINS60']",rule,23
5063,CIF CAT LAIVIETNAMCOMMODITY PVC RESINS60 QTY8575 MTSUNIT PRICEUSD1550MTPACKING25KGS IN PP WOVEN BAG WITH PE LAMINATEDHS CODE390410,PVC RESINS60,11,202104.xlsx,"[' PP ', ' PE ', 'PVC RESINS60']",rule,23
